ΚΩΔ.,Ονομα,2002,2003,2004,2005,2006,2007,2008,2009,2010,20011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
166,ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),12483.0,13900.0,13979.0,18127.0,14938.0,16392.0,17059.0,17403.0,,14950.0,14838.0,13701.0,13778.0,13607.0,9994.0,11414.0,13314.0,12773,12100,12176,12050,12600
167,ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ ΚΑΙ ΙΣΤΟΡΙΑΣ (ΜΥΤΙΛΗΝΗ),11001.0,11403.0,10853.0,14942.0,11627.0,12943.0,13133.0,13301.0,,11670.0,10764.0,10848.0,11623.0,11271.0,11682.0,12121.0,11047.0,9932,7750,8303,8650,9220
168,ΘΕΑΤΡΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),12776.0,,,18413.0,12939.0,14068.0,14212.0,14340.0,,14195.0,14735.0,13326.0,13540.0,13950.0,13609.0,14448.0,14105.0,13635,13000,12259,12400,12875
169,ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ (ΠΑΤΡΑ),11746.0,11982.0,11268.0,17245.0,12038.0,12966.0,12732.0,12806.0,,12721.0,11783.0,11169.0,11659.0,11779.0,11752.0,12124.0,11100.0,10190,8250,9509,10070,0
170,ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ,16534.0,16805.0,16145.0,18607.0,16796.0,17211.0,18049.0,17789.0,,17699.0,18204.0,17739.0,18081.0,17478.0,17381.0,17487.0,17579.0,17285,17550,17584,17170,17520
171,ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΕΚΠΑ,15822.0,15954.0,15238.0,18540.0,16269.0,16767.0,17463.0,17446.0,,17496.0,18115.0,17794.0,18205.0,17751.0,17725.0,17826.0,17949.0,17608,17875,18007,17420,17845
172,ΨΥΧΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),15980.0,16378.0,15506.0,18856.0,16383.0,16952.0,17625.0,17574.0,,17638.0,18184.0,17881.0,18197.0,17596.0,17517.0,17549.0,17711.0,17529,17725,17767,16985,17565
173,ΙΣΤΟΡΙΑΣ ΚΑΙ ΦΙΛΟΣΟΦΙΑΣ ΤΗΣ ΕΠΙΣΤΗΜΗΣ (ΑΘΗΝΑ),12640.0,12950.0,12162.0,17460.0,12658.0,13624.0,13740.0,13882.0,,13409.0,13645.0,12893.0,12976.0,13195.0,13982.0,14072.0,13841.0,12036,11775,11126,11372,11096
174,ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),13706.0,13920.0,13615.0,18801.0,15392.0,16114.0,16603.0,17323.0,,16951.0,17284.0,16714.0,17010.0,16628.0,16340.0,16566.0,16711.0,15816,15900,15614,14075,0
175,ΦΙΛΟΛΟΓΙΑΣ (ΠΑΤΡΑ),14998.0,,,16515.0,15305.0,16203.0,16608.0,16446.0,,15713.0,15845.0,15923.0,16349.0,15408.0,15197.0,15272.0,14185.0,12599,11525,10552,11230,10800
